,C3L-00144,C3N-00175,C3N-00560,C3N-02089,C3N-00580,C3L-00095,C3N-01030,C3N-01489,C3L-00080,C3L-00279
TCF4,0.07764993,-0.82558864,0.029119862,1.7497416,-0.5932932,0.18701752,0.2088417,-0.6962322,0.09847019,-0.2787574
TCF7L2,0.2172469,0.26128796,0.0005653111,3.1531632,1.6085398,0.78245586,1.6826545,1.8897175,-0.34912455,1.7099754
TFCP2,-1.8181728,0.5687934,-1.2807904,-0.02744447,-2.6260343,-0.12334366,-1.7917547,0.24633862,-0.53170884,-0.7411037
TFEB,0.7624046,0.03720916,-1.5504844,-0.74191207,-1.0196093,-0.49272335,-0.13037066,0.8138567,-0.4181427,0.2861918
TGFB1I1,-0.74653727,-0.9018154,-1.7076716,-0.8992316,-0.42179653,-0.80185765,-0.7178471,-0.56052566,-1.5191772,-1.1911119
THRA,0.6235068,0.0901695,1.1493334,1.1901194,-0.9962346,0.1020661,-0.44455728,0.4738774,-1.7347803,0.43156347
THRB,-0.46515957,1.1864477,0.5309514,2.8553462,-0.32403046,-0.47875926,-0.21847957,2.5954328,-1.195386,0.09358298
TP53,-1.3683157,-0.6927067,-0.9617877,-1.5998255,0.0377163,-0.4688444,-0.21036913,0.4780763,-4.2636404,-1.4141371
TP63,-0.30837795,-0.72494084,-1.1174154,-1.2534324,0.05655113,-1.1015174,1.0091561,0.5967243,-2.2244165,-0.5524599
TP73,-1.026632,-1.2394161,-1.3733894,-1.4985987,-0.122911274,-0.5313805,-1.1050397,-0.52395415,-2.9822497,-0.9984375
TRIM28,0.035436697,-1.0126846,-0.17931917,-0.074336365,-0.25040263,0.36977014,-0.5931076,-0.34701616,-0.07153413,-0.6889307
TWIST1,0.413436,0.572844,-0.9859229,0.9595354,-0.36206615,0.89930344,1.3213819,0.4214817,-1.6750554,0.7420991
UBTF,2.6721256,1.840275,1.0659002,0.90518034,1.6040562,1.3866459,1.5628225,0.7027639,0.056563042,1.0389562
USF1,-0.6447583,-1.1422333,-1.38458,-0.6789281,-2.3859584,-2.1639926,0.65504736,-0.84925926,-0.89652425,-0.1639575
WWTR1,0.19280306,0.3514086,-0.42818618,0.31816635,1.066173,-0.34790733,0.02129652,-0.7434559,-0.23047096,0.18655708
YAP1,0.41903156,0.55553466,-0.45036206,0.25442085,1.829874,-0.56885237,0.43849742,0.42825046,-0.48899958,0.18099253
YBX1,1.3200448,0.44007522,-0.54411095,-0.30226147,0.899434,0.18684347,-0.47987777,0.83204204,0.5129587,0.34313163
YY1,-0.8973087,-0.10299687,1.1971148,-0.35172793,-0.46125272,-0.60897994,0.008748561,1.119735,-0.4220975,-0.44264296
ZBTB16,-1.2039522,-1.0335424,-0.6315433,-0.5359308,-1.0550257,-0.79179007,0.06384342,0.26238972,0.327181,0.5287589
ZNF148,0.6504603,0.055008423,0.05336683,-0.17303964,-0.19980559,-0.055028375,1.0000383,1.6712826,-1.1484962,-0.65880704
